Artikel,Jahr,Istbestand,Inventurergebnis,Verbrauch,Preis,Sicherheitsbestand (%)
Schraube M8,2023,1200,1200,8000,0.12,10
Schraube M8,2024,1000,1000,8200,0.13,10
Schraube M8,2025,900,900,7800,0.14,10
Mutter M8,2023,600,600,4200,0.08,0
Mutter M8,2024,550,550,4000,0.09,0
Mutter M8,2025,500,500,3900,0.1,0
Palette EUR,2024,300,300,900,12.5,15
Palette EUR,2025,280,280,850,13.2,15
Hydraulikschlauch,2023,90,90,260,48,20
Hydraulikschlauch,2024,85,85,240,49.5,20
Hydraulikschlauch,2025,80,80,230,51,20
Steuergerät X200,2025,12,12,18,1450,25
Ventil V100,2024,45,43,120,89.5,15
Ventil V100,2025,40,38,110,92.0,15
Dichtung D50,2023,200,195,580,2.5,5
Dichtung D50,2024,180,175,550,2.8,5
Dichtung D50,2025,160,155,520,3.0,5
Filter F200,2024,25,24,75,156.0,20
Filter F200,2025,22,21,70,165.0,20
Pumpe P500,2024,8,8,12,2450.0,30
Pumpe P500,2025,7,7,10,2580.0,30
Sensor S300,2023,60,58,180,125.0,10
Sensor S300,2024,55,53,175,135.0,10
Sensor S300,2025,50,48,170,145.0,10
Kabel K100,2024,150,148,450,15.5,5
Kabel K100,2025,140,138,420,16.2,5
